倩女幽魂手游科举答题器 科举答案大全_蚕豆网新闻
科举答案大全

2500、在明朝科举制度中，一甲进士称：|赐进士及第
3466、佛教中有五神通与六神通两种术语，以下不属于五神通而属于六神通的是?|漏尽通

3467、秦朝建立后，秦王赢政自称：|始皇帝

3468、传说中禹的父亲是：|鲧

3469、在唐代宫廷中，设有专门训练艺人的组织梨园。戏曲演员都称自己是梨园子弟，戏曲界也被称为梨园行。这一戏曲传统是由下列哪位创始的：|唐玄宗

3470、古籍中常有大量音同或音近的字代替本字，被称作通假字，请问以下四句话中不含通假字的是?|天苍苍 瀚海阑干

3471、五胡十六国是指自西晋末年到北魏统一北方期间，于公元304-439年年间所建立的政权。请问这个五个少数民族是哪五个?|匈奴-鲜卑-羯族-氐族-羌族

3472、土木堡之变指的是明军在土木堡被瓦刺军打败，下列哪位皇帝被瓦刺军俘虏的事件?|明英宗

3473、南朝时期活跃于文坛的三大诗人，重描绘山川景物，讲究辞藻的华丽和对仗的工整，被称作元嘉三大家，以下哪位不属于此三大家中的?|谢胱

3474、下列行星中，会发生冲日现象的是?|木星

3475、李渔在闲情偶寄中提到，园林中太湖石的审美标准可以用哪三个字来表示?|透，漏，瘦

3476、牛黄，是指牛科动物黄牛或水牛的胆囊结石。中国学认为牛黄气清香，味微苦而后甜，性凉。请问以下哪种不是牛黄的功效?|散瘀

3477、在家园中你可以摆一张精美的枫木嵌玉石栏杆罗汉床，请问罗汉床有什么特点?|床后背及左右三面安围子

3478、张华的博物志中载有：今人梳头，脱著衣时，有随梳，解结有光者，亦有咤声，这描述的是什么?|静电

3479、当寄生虫的幼虫和成虫寄生在不同的物种上时，幼虫阶段的宿主被称为中间宿主。以下哪种寄生虫以钉螺作为中间宿主：|血吸虫

3480、刺绣针法中以长短针参差互用，后针从前针的中间出，边口不齐，有调色和顺的长处，可用来绣仿真形象的针法叫：|擞和针

3481、成语卧薪尝胆说的是_的故事：|勾践

3482、历史上被称为小李杜的是哪两位诗人?|李商隐和杜牧

3483、当晋国发布成文法，打破贵族特权时，是谁以贵贱无序，何以为国的理由反对?|孔子

3484、战国时期，合纵政策的代表人物是：|苏秦

3485、名句回眸一笑百媚生的下半句是：|六宫粉黛无颜色

3486、小熊猫和大熊猫一样是我国的珍稀保护动物，请问下列哪个不是小熊猫的别名?|花头熊

3487、下列器具中不属于古代盛酒的器皿的是?|筹

3488、蝼蝈鸣，蚯蚓出，王瓜生，苦菜秀。出自礼记-月令，描述的是我国二十四节气之一的景象，请问此句描述的节气是?|立夏

3489、紫禁城是中国明，清两代皇帝的皇宫。对于紫禁城这个名称，下列说法错误的是?|故宫是紫禁城中最大的宫殿

3490、岳飞是南宋著名的抗金将领，一直以精忠报国四字流芳百世，其麾下将领众多，以下不是岳飞手下岳家军的将领是?|岳雷

3491、中华饮食里常有被冠以五香之名的菜肴，如五香牛肉，五香花生等，请问五香指的是哪五种配料?|茴香、花椒、大料、桂皮、丁香

3492、周文王名姬昌，其作品周易是中国的圣经，乃诸子百家之源，传说文王创作易经，是被商王囚禁期间在狱中写成，在狱中完成的主要内容是?|64

3493、卦变384爻

3494、异人玩家的附体灵兽打上倾情注和普渡后，以下哪条装备词条效果增加了?|对刀客伤害+12.8%

3495、以下不属于亡国之君的是?|唐宣宗

3496、白高帽是南朝时一种特有的冠帽，其制不定，或有卷荷，或有下裙，或有纱高屋，或有乌纱长耳。请问它是哪种身份的佩戴的帽子?|天子

3497、以下不属于古代娶亲时三媒六证中六证的是?|笔

3498、唐三彩是一种盛行于唐代的陶器，请问下列对其主要特点的描述错误的是?|其动物造型以马和牛为主

3499、倩女商城中的许多药品均以中草药的名称命名，请问以下哪种草药可用于抗肿瘤?|半支莲

3500、明朝在全国设置两京十三司，其中不包括的是?|湖南

3501、下列对于古代著名阵法三才阵的描述错误的是?|以密集的方阵进行冲锋

3502、以下哪本数学著作是明代成书的?|算法统宗

3503、下面各篇乐府中，哪一篇不是汉乐府篇名?|团扇郎歌

3504、明代皇位更迭中出现了一些并非由父传子，而是由宗室兄弟继位的现象，以下几组帝王间并非兄弟关系的是?|成化帝-弘治帝

3505、明代曾发生一起因传教士不尊儒，有违中国文化传统而大批逮捕，驱逐传教士的禁教事件，史称南京教案，这一事件发生在哪位皇帝当政期间?|明神宗朱翊钧

3506、中医用脏象学说来描述五脏的生理功能和关系，以下描述完全正确的是?|心-火-气-脉 脾-土-髓-肌

3507、书法是中国古代传承至今的一种特有的传统艺术。请问颜体指的是下列谁写的字体：|颜真卿

3508、中国的民间音乐具有很明显的地区特质。请在下列四个曲目中选出与其它三个选项地域不一致的：|紫竹调 雨打芭蕉

3509、我国山水名作永州八记的作者是：|柳宗元

3510、红楼梦的判词中，堪怜咏絮才的咏絮才所对应的真实历史人物是：|谢道韫

3511、下列属于秋季的节气是：|立秋

3512、在徐霞客游记中，记载有：汤泉，又名朱砂泉在隔溪，遂俱解衣赴汤池。这里所说的汤泉是指：|黄山温泉

3513、游戏中使用隆庆通宝，嘉靖通宝等可增加帮会资金。通宝是某些朝代中铜币的一种名称，请问通宝起源于哪个朝代?|唐

3514、历史上占领香港，并与我国签订不平等条约的是：|英国

3515、唐太宗、武则天、唐玄宗前期共同注意的问题是?|重用人才

3516、下列不属于青茶的茶品种是：|蒙顶黄芽

3517、西汉时有位杰出的民间天文学家，创太初历，改革不合理的岁首制度，从此才有了现在的春节。后人尊其为春节老人，请问他是?|落下闳

3518、江流天地外，山色有_中：|无

3519、中国佛教四大名山：山西五台山、浙江普陀山、四川峨眉山、安徽九华山。请问这四处中国佛教圣地分别供奉的是哪位菩萨?|文殊，观音，普贤，地藏

3520、旧时王谢堂前燕，_入寻常百姓家：|飞

3521、明代兵法、武术专著-纪效新书的作者是谁?|戚继光

3522、绿茶是_发酵的茶：|不

3523、中国历史上，大辽的创始人是：|耶律阿保机

3524、历史以来形成的云南特有的地方名菜是：|黑茶

3525、道教中统管宇宙万象的四位最高神祗被称为：|四御

3526、在游戏中，某些技能组合使用后效果会更加好，以下不属于该范畴的为?|雪月交光和炽电天炙

3527、封神中，下列哪一位有一颗七窍玲珑心：|比干

3528、下列哪一位不属于唐宋八大家：|杜牧

3529、陆羽又号：|竟陵子

3530、以下选项中，不属于北派武术特点的是：|短桥寸劲

3531、古筝中的雁柱可以自由移动吗?|可以

3532、明朝时，利玛窦和下列哪一位合作翻译了几何原本?|徐光启

3533、宋朝经济发达，工商业兴旺，美食文化自然也蓬勃发展。请问以下哪一种美食不是发明于宋朝的?|火锅

3534、五代时，吴国的都城是：|扬州

3535、游戏中布盔有崔涂之岁华弁、李裹儿之兔绒弁等等。弁是古时的一种官帽，后引申为低级武官的意思，这个字与下列哪个字同音?|变

3536、一念三千典出佛教的哪个宗派?|天台宗

3537、北人避胡多在南，南人至今能晋语这句话反映了什么历史现象?|两晋时期中原人口向南迁徒

3538、共此灯烛光的上半句是：|今夕复何夕

3539、西周后期，汉字发展演变为大篆，大篆是通行于春秋战国时期的秦国文字，它是继承金文发展而来的。大篆的真迹，一般认为是?|石鼓文

3540、诗春晓的作者是：|孟浩然

3541、戈是中国先秦时期一种主要用于勾的格斗兵器，流行于商至汉代。请问目前发现的最早用青铜铸的戈头，距今约多少年?|3500

3542、竹喧归浣女的下半句是：|莲动下渔舟

3543、西游中，猪八戒最后被封为:|净坛使者菩萨

3544、正月指的是：|寅

3545、下列哪一样不属于古代火药的配制原料：|汞齐

3546、中国围棋的棋子分为哪两种颜色：|黑白

3547、魏安厘王希望能重振霸业，于是准备出兵攻伐赵国，大臣季梁用哪个寓言来劝谏他?|南辕北辙

3548、在游戏中，很多剧情BOSS都有特殊的技能，下列技能中属于小谢的技能特点是：|将玩家变猪

3549、杜撰的意思是指虚构，没有根据的编造，撰是撰写的意思，那么杜指的是：|一个叫杜默的人

3550、醉翁亭记的作者是：|欧阳修

3551、日本变法之初，聘用西人而国以日强，埃及用外国人至千余员。此话所谈的日本变法的内容不包括：|废除与西方各国签订的不平等条约，收回国家主权

3552、在一个生态系统中，有草，兔子，老鼠，狐狸四种生物。其中狐狸属于：|2级消费

3553、唐李濯诗内人马伎赋.倩女游戏中也有每日定时开放的关宁校场，请问以下哪项对关宁校场的解释有误?|校场即操场，只有高级国家军队才可进入

3554、中国古代涌现了一大批游说于各国之间，向各国诸侯分析天下形势，纵论存亡之纵横家，请问以下哪一位不属于纵横家?|邹衍

3555、中国传统的吉祥图案指以含蓄，谐音等曲折的手法，组成具有一定吉祥寓意的装饰纹样。下列的吉祥图案纹样和其含义对应错误的是：|银锭 荔枝

3556、敕九部乐及京城诸寺幡盖众伎，送玄奘及所翻经像、诸高僧入住慈恩寺，发生在唐朝哪一位皇帝统治时期?|唐玄宗 唐太宗 唐高祖

3557、冰雹，俗称雹子，有的地区叫冷子，它是从对流云中降落的由透明和不透明冰粒相间组成的固态降水。请问冰雹天气一般在什么季节最常见?|夏天或春夏之交

3558、著名的祁红茶是一种：|红茶

3559、下列属于夏季结尾的节气是：|大暑

3560、游戏中的故事部分取材于古代传奇志怪小说。请问下列哪个金陵城中的人物是取自唐传奇的?|柳毅

3561、在元朝等级制度中，地位最低的是：|南人

3562、城阙辅三秦中的阙字的同音字是：|却

3563、泉声咽危石，日色_青松|冷

3564、井深绳长都不知，五折下井差一尺，三折入井余三尺，请问尺深为几尺?|七尺 六 八

3565、水浒中，索超的外号是：|急先锋

3566、西游中，白骨精出场变了几次身：|三次

3567、下列不是采用金文书体的作品是：|琅琊石刻

3568、跋前疐后形容的是下列哪种动物?|狼

3569、别有幽愁暗恨生，此时无声_有声:|胜

3570、诗将进酒中的将字的同音字是：|枪

3571、以下著名诗作中不属于七言绝句的是?|李清照-夏日绝句

3572、梦为远别啼难唤，书被催成墨_浓：|未

3573、星垂平野阔，月_大江流：|涌

3574、项脊轩志的作者是：|归有光

3575、将一根胡萝卜放在手指上，使它平衡，再从这个平衡点把胡萝卜切成两半(一半短一半长)，放在天平上比较，结果是：|短的重

3576、安溪铁观音茶，一年可采几期茶?|四期

3577、我国目前最大的油田是：|大庆油田

3578、沈括在梦溪笔谈中，对堆起来的酒坛和垒起来的棋子等有空隙的堆体积的研究，用的是什么理论?|隙积术

3579、山暝听猿愁的下半句是：|沧江急夜流

3580、在游戏中，有一种技能可以打掉方士的四灵护体，下列技能中不属于的是：|炽电天炙 散魄赋 红杏泄春光

3581、中国古代传统习俗丰富多姿，民间历来有许多有趣的传统。请问下列不属于端午吃的五黄的是：|黄牛肉

3582、三国演义中感叹：有子如孙郎，死复何恨的是谁?孙郎又指谁?|袁术-孙策

3583、水经注是我国古代哪个时期的作品?|南北朝
